Country,cause,val
Saint Kitts and Nevis,Self-harm and interpersonal violence,12.28451446
Dominica,Other infectious diseases,3.380137035
Dominica,Maternal and neonatal disorders,12.31550879
Dominica,Substance use disorders,4.735489727
Dominica,Diabetes and kidney diseases,100.1075259
United Kingdom,Chronic respiratory diseases,51878.55215
United Kingdom,Skin and subcutaneous diseases,2450.521777
Uganda,HIV/AIDS and sexually transmitted infections,26815.97399
Uganda,Respiratory infections and tuberculosis,30569.08663
Hungary,Neoplasms,34292.61166
Gambia,Respiratory infections and tuberculosis,1946.739559
Gambia,Enteric infections,711.7550573
Ghana,Nutritional deficiencies,1973.150145
Finland,Skin and subcutaneous diseases,62.48696268
Finland,Transport injuries,342.1530726
Myanmar,Transport injuries,6137.433221
Myanmar,Unintentional injuries,16357.7509
Saint Kitts and Nevis,Musculoskeletal disorders,1.344442768
Saint Kitts and Nevis,Other non-communicable diseases,12.98092046
Saint Kitts and Nevis,HIV/AIDS and sexually transmitted infections,31.89396363
Czechia,Self-harm and interpersonal violence,1585.961324
Myanmar,Self-harm and interpersonal violence,3347.968262
Iran (Islamic Republic of),Self-harm and interpersonal violence,7255.721295
Finland,Neurological disorders,4635.611622
Finland,Mental disorders,0.590964553
Gambia,Other infectious diseases,398.6432072
Gambia,Maternal and neonatal disorders,1434.161888
Gambia,Substance use disorders,17.82233612
Gambia,Diabetes and kidney diseases,639.7032547
United Kingdom,Neoplasms,195998.857
United Kingdom,Neurological disorders,47232.77361
Dominican Republic,Neurological disorders,2385.167698
Ukraine,Unintentional injuries,17221.80227
Philippines,Neoplasms,81320.99382
Philippines,Neurological disorders,13892.74761
Gambia,Self-harm and interpersonal violence,144.3277215
Gabon,Self-harm and interpersonal violence,250.6862309
Finland,HIV/AIDS and sexually transmitted infections,7.843877061
Finland,Respiratory infections and tuberculosis,831.5288737
Finland,Enteric infections,51.24702916
Costa Rica,Skin and subcutaneous diseases,81.76851859
Costa Rica,Other infectious diseases,81.33501089
Costa Rica,Maternal and neonatal disorders,258.2984777
Costa Rica,Substance use disorders,109.9757827
United Kingdom,Nutritional deficiencies,158.8009558
El Salvador,Digestive diseases,2431.957696
Ukraine,Mental disorders,1.158990193
Ukraine,Self-harm and interpersonal violence,19241.46346
Hungary,Mental disorders,0.495261907
Finland,Substance use disorders,856.8213528
Finland,Diabetes and kidney diseases,1202.595415
Iran (Islamic Republic of),Unintentional injuries,11509.40966
Uganda,Diabetes and kidney diseases,8438.597532
Iran (Islamic Republic of),Other non-communicable diseases,7882.900942
Iran (Islamic Republic of),Skin and subcutaneous diseases,272.0901208
Dominican Republic,Neoplasms,10808.0103
Armenia,Neglected tropical diseases and malaria,2.566980279
Zambia,Nutritional deficiencies,1899.223325
United Kingdom,Transport injuries,2886.915101
United Kingdom,Substance use disorders,4415.852881
United Kingdom,Diabetes and kidney diseases,14190.81371
Ghana,Neoplasms,18509.23429
Iran (Islamic Republic of),HIV/AIDS and sexually transmitted infections,1285.158931
Iran (Islamic Republic of),Respiratory infections and tuberculosis,11053.90888
Iran (Islamic Republic of),Enteric infections,1259.578836
Iran (Islamic Republic of),Other infectious diseases,1935.769811
Iran (Islamic Republic of),Maternal and neonatal disorders,7561.675666
Finland,Other infectious diseases,80.74341009
Finland,Maternal and neonatal disorders,39.70445931
France,Nutritional deficiencies,4733.997863
Ghana,Digestive diseases,10229.13982
Saint Kitts and Nevis,Neoplasms,98.90243615
San Marino,Cardiovascular diseases,98.4907032
Dominican Republic,Self-harm and interpersonal violence,2665.803666
Iraq,Neglected tropical diseases and malaria,113.4132087
France,Neoplasms,197312.6155
United Kingdom,Digestive diseases,33215.0638
Dominican Republic,Cardiovascular diseases,27139.54994
Dominican Republic,Musculoskeletal disorders,198.2992735
Hungary,Neglected tropical diseases and malaria,2.361504309
